cotacaoCompra,cotacaoVenda,dataHoraCotacao
"5,162","5,1626",2021-01-04 13:07:33.461
"5,3263","5,3269",2021-01-05 13:11:14.045
"5,3176","5,3182",2021-01-06 13:12:28.251
"5,3427","5,3433",2021-01-07 13:11:33.564
"5,3677","5,3683",2021-01-08 13:08:31.586
"5,496","5,4966",2021-01-11 13:03:59.427
"5,4631","5,4637",2021-01-12 13:07:38.023
"5,3064","5,307",2021-01-13 13:03:31.966
"5,2611","5,2617",2021-01-14 13:05:07.348
"5,2708","5,2714",2021-01-15 13:02:58.513
"5,2782","5,2788",2021-01-18 13:10:06.899
"5,2939","5,2945",2021-01-19 13:06:50.916
"5,3027","5,3033",2021-01-20 13:07:06.979
"5,316","5,3166",2021-01-21 13:06:33.298
"5,4295","5,4301",2021-01-22 13:03:37.619
"5,5074","5,5089",2021-01-25 13:08:46.239
"5,3859","5,3865",2021-01-26 13:02:34.963
"5,3818","5,3824",2021-01-27 13:04:21.326
"5,4276","5,4282",2021-01-28 13:04:39.485
"5,4753","5,4759",2021-01-29 13:04:37.004
"5,4602","5,4608",2021-02-01 13:08:36.919
"5,3869","5,3875",2021-02-02 13:05:57.49
"5,3417","5,3423",2021-02-03 13:10:45.471
"5,3904","5,391",2021-02-04 13:10:25.186
"5,3878","5,3884",2021-02-05 13:10:53.963
"5,3664","5,367",2021-02-08 13:05:38.857
"5,421","5,4216",2021-02-09 13:12:05.416
"5,4018","5,4024",2021-02-10 13:08:47.187
"5,362","5,3626",2021-02-11 13:03:46.675
"5,3809","5,3815",2021-02-12 13:03:15.684
"5,4132","5,4138",2021-02-17 15:35:16.801
"5,4232","5,4238",2021-02-18 13:03:28.684
"5,3918","5,3924",2021-02-19 13:03:33.813
"5,5038","5,5044",2021-02-22 13:05:46.255
"5,4484","5,449",2021-02-23 13:05:50.893
"5,4176","5,4182",2021-02-24 13:05:50.381
"5,4594","5,46",2021-02-25 13:09:32.447
"5,5296","5,5302",2021-02-26 13:09:49.072
"5,5826","5,5832",2021-03-01 13:02:42.218
"5,6838","5,6844",2021-03-02 13:02:31.88
"5,7336","5,7342",2021-03-03 13:03:05.72
"5,6002","5,6008",2021-03-04 13:03:41.479
"5,6864","5,687",2021-03-05 13:03:41.762
"5,7337","5,7343",2021-03-08 13:09:22.896
"5,8391","5,8397",2021-03-09 13:02:18.867
"5,7443","5,7449",2021-03-10 13:03:03.679
"5,5884","5,589",2021-03-11 13:09:41.81
"5,5634","5,564",2021-03-12 13:10:24.5
"5,629","5,6296",2021-03-15 13:09:02.239
"5,5845","5,5851",2021-03-16 13:04:13.803
"5,6573","5,6579",2021-03-17 13:05:58.239
"5,5468","5,5474",2021-03-18 13:12:47.373
"5,5076","5,5082",2021-03-19 13:04:01.59
"5,5263","5,5269",2021-03-22 13:09:34.907
"5,4945","5,4951",2021-03-23 13:04:27.849
"5,5324","5,533",2021-03-24 13:06:00.477
"5,6579","5,6585",2021-03-25 13:08:58.765
"5,7036","5,7042",2021-03-26 13:02:36.682
"5,7919","5,7925",2021-03-29 13:05:47.32
"5,7636","5,7642",2021-03-30 13:10:22.8
"5,6967","5,6973",2021-03-31 13:08:42.02
"5,6843","5,6849",2021-04-01 13:06:02.403
"5,6573","5,6579",2021-04-05 13:07:29.588
"5,6257","5,6263",2021-04-06 13:11:23.453
"5,5858","5,5864",2021-04-07 13:09:02.766
"5,5811","5,5817",2021-04-08 13:07:48.5
"5,6439","5,6445",2021-04-09 13:03:10.778
"5,6576","5,6582",2021-04-12 13:10:02.238
"5,7058","5,7064",2021-04-13 13:03:20.796
"5,693","5,6936",2021-04-14 13:09:37.448
"5,6228","5,6234",2021-04-15 13:05:23.315
"5,6322","5,6328",2021-04-16 13:09:30.217
"5,5744","5,575",2021-04-19 13:05:28.504
"5,526","5,5266",2021-04-20 13:08:50.498
"5,4964","5,497",2021-04-22 13:05:28.343
"5,4781","5,4787",2021-04-23 13:09:33.759
"5,456","5,4566",2021-04-26 13:08:23.898
"5,4418","5,4424",2021-04-27 13:11:50.036
"5,3999","5,4005",2021-04-28 13:06:50.637
"5,3656","5,3662",2021-04-29 13:09:45.55
"5,403","5,4036",2021-04-30 13:11:25.66
"5,4081","5,4087",2021-05-03 13:08:02.769
"5,4499","5,4505",2021-05-04 13:03:40.588
"5,3866","5,3872",2021-05-05 13:02:35.001
"5,2891","5,2897",2021-05-06 13:06:38.065
"5,2211","5,2217",2021-05-07 13:02:46.693
"5,2221","5,2227",2021-05-10 13:09:31.711
"5,2397","5,2403",2021-05-11 13:07:53.048
"5,2347","5,2353",2021-05-12 13:05:50.389
"5,2809","5,2815",2021-05-13 13:03:00.191
"5,2695","5,2701",2021-05-14 13:03:03.149
"5,2749","5,2755",2021-05-17 13:07:28.963
"5,2582","5,2588",2021-05-18 13:06:44.978
"5,2816","5,2822",2021-05-19 13:10:26.529
"5,2899","5,2905",2021-05-20 13:06:37.39
"5,3021","5,3027",2021-05-21 13:11:21.274
"5,3192","5,3198",2021-05-24 13:07:26.965
"5,3137","5,3143",2021-05-25 13:09:30.329
"5,3158","5,3164",2021-05-26 13:05:31.717
"5,2833","5,284",2021-05-27 13:11:43.04
"5,2274","5,2281",2021-05-28 13:02:48.472
"5,2316","5,2322",2021-05-31 13:05:18.893
"5,163","5,1636",2021-06-01 13:06:30.264
"5,114","5,1147",2021-06-02 13:07:32.55
"5,0661","5,0666",2021-06-04 13:06:33.737
"5,0492","5,0498",2021-06-07 13:11:52.185
"5,0483","5,0489",2021-06-08 14:01:39.931
"5,0527","5,0533",2021-06-09 13:10:42.62
"5,0629","5,0635",2021-06-10 13:09:29.811
"5,1184","5,119",2021-06-11 13:02:27.961
"5,0701","5,0707",2021-06-14 13:10:21.127
"5,0868","5,0874",2021-06-15 13:10:21.757
"5,0201","5,0207",2021-06-16 13:05:01.635
"5,0353","5,0359",2021-06-17 13:11:28.535
"5,0308","5,0314",2021-06-18 13:11:28.289
"5,0367","5,0373",2021-06-21 13:02:54.318
"5,0172","5,0178",2021-06-22 13:04:33.754
"4,9513","4,9519",2021-06-23 13:07:38.679
"4,9271","4,9277",2021-06-24 13:11:26.58
"4,92","4,9206",2021-06-25 13:05:48.514
"4,9414","4,942",2021-06-28 13:06:23.426
"4,9444","4,945",2021-06-29 13:03:53.546
"5,0016","5,0022",2021-06-30 13:06:37.168
"5,0049","5,0055",2021-07-01 13:03:46.579
"5,0287","5,0293",2021-07-02 13:08:30.132
"5,0743","5,0749",2021-07-05 13:03:50.569
"5,1639","5,1645",2021-07-06 13:09:25.513
"5,2322","5,2328",2021-07-07 13:06:38.6
"5,2581","5,2587",2021-07-08 13:11:29.527
"5,237","5,2393",2021-07-09 13:05:46.705
"5,2233","5,2239",2021-07-12 13:05:40.687
"5,1764","5,177",2021-07-13 13:09:24.31
"5,0874","5,088",2021-07-14 13:03:27.052
"5,0994","5,1",2021-07-15 13:09:28.656
"5,0935","5,0941",2021-07-16 13:10:27.939
"5,1972","5,1978",2021-07-19 13:06:31.319
"5,2459","5,2465",2021-07-20 13:08:21.671
"5,251","5,2516",2021-07-21 13:11:29.341
"5,1972","5,1978",2021-07-22 13:06:20.96
"5,1695","5,1701",2021-07-23 13:02:27.693
"5,1857","5,1863",2021-07-26 13:09:24.808
"5,1663","5,1669",2021-07-27 13:08:47.867
"5,1521","5,1527",2021-07-28 13:11:25.461
"5,0676","5,0682",2021-07-29 13:09:30.818
"5,121","5,1216",2021-07-30 13:05:44.156
"5,1373","5,1379",2021-08-02 13:02:33.944
"5,2458","5,2464",2021-08-03 13:11:44.499
"5,2085","5,2091",2021-08-04 13:08:24.432
"5,1459","5,1464",2021-08-05 13:05:22.009
"5,2404","5,241",2021-08-06 13:11:22.291
"5,2768","5,2774",2021-08-09 13:03:18.998
"5,2211","5,2217",2021-08-10 13:08:48.486
"5,2007","5,2013",2021-08-11 13:06:20.37
"5,2345","5,2351",2021-08-12 13:03:08.322
"5,2468","5,2474",2021-08-13 13:04:27.621
"5,2489","5,2495",2021-08-16 13:05:49.701
"5,2579","5,2585",2021-08-17 13:10:47.981
"5,3019","5,3025",2021-08-18 13:05:48.476
"5,4174","5,418",2021-08-19 13:07:17.88
"5,4268","5,4274",2021-08-20 13:10:39.797
"5,368","5,3686",2021-08-23 13:10:34.583
"5,3011","5,3017",2021-08-24 13:10:22.53
"5,2459","5,2465",2021-08-25 13:10:40.424
"5,2423","5,2429",2021-08-26 13:10:49.078
"5,2194","5,22",2021-08-27 13:11:22.717
"5,1946","5,1952",2021-08-30 13:07:25.721
"5,1427","5,1433",2021-08-31 13:10:23.684
"5,157","5,1576",2021-09-01 13:11:06.324
"5,1729","5,1735",2021-09-02 13:11:17.302
"5,1679","5,1685",2021-09-03 13:03:21.611
"5,1767","5,1773",2021-09-06 13:06:02.111
"5,2518","5,2524",2021-09-08 13:09:22.725
"5,2819","5,2825",2021-09-09 13:02:42.197
"5,2152","5,2158",2021-09-10 13:06:44.542
"5,2184","5,219",2021-09-13 13:11:57.689
"5,2254","5,226",2021-09-14 13:05:29.154
"5,257","5,2576",2021-09-15 13:09:33.824
"5,2588","5,2594",2021-09-16 13:07:34.198
"5,3097","5,3103",2021-09-17 13:05:44.302
"5,3326","5,3332",2021-09-20 13:09:20.651
"5,3038","5,3044",2021-09-21 13:05:29.475
"5,2777","5,2783",2021-09-22 13:08:29.983
"5,2885","5,2891",2021-09-23 13:03:07.356
"5,3429","5,3435",2021-09-24 13:03:32.594
"5,3472","5,3478",2021-09-27 13:10:20.907
"5,42","5,4206",2021-09-28 13:02:28.318
"5,4167","5,4173",2021-09-29 13:07:36.017
"5,4388","5,4394",2021-09-30 13:08:39.486
"5,3905","5,3911",2021-10-01 13:09:55.606
"5,4198","5,4204",2021-10-04 13:04:19.644
"5,4605","5,4611",2021-10-05 13:03:21.673
"5,5091","5,5097",2021-10-06 13:06:37.922
"5,5134","5,514",2021-10-07 13:08:32.904
"5,5078","5,5084",2021-10-08 13:09:33.086
"5,5155","5,5161",2021-10-11 13:11:50.974
"5,5464","5,5471",2021-10-13 13:07:53.148
"5,4982","5,4988",2021-10-14 13:08:19.087
"5,4504","5,451",2021-10-15 13:09:00.092
"5,5187","5,5193",2021-10-18 13:10:12.364
"5,5515","5,5521",2021-10-19 13:03:26.566
"5,5565","5,5571",2021-10-20 13:08:38.286
"5,6417","5,6423",2021-10-21 13:09:24.845
"5,7111","5,7117",2021-10-22 13:04:31.126
"5,5967","5,5973",2021-10-25 13:08:21.969
"5,5794","5,58",2021-10-26 13:11:02.479
"5,5661","5,5667",2021-10-27 13:11:29.186
"5,6118","5,6124",2021-10-28 13:09:22.681
"5,6424","5,643",2021-10-29 13:10:37.643
"5,6688","5,6694",2021-11-01 13:06:32.202
"5,6666","5,6672",2021-11-03 13:11:45.357
"5,5936","5,5942",2021-11-04 13:05:50.751
"5,5449","5,5455",2021-11-05 13:09:32.052
"5,5621","5,5627",2021-11-08 13:11:26.233
"5,4951","5,4957",2021-11-09 13:06:40.602
"5,4584","5,459",2021-11-10 13:09:36.334
"5,4165","5,4171",2021-11-11 13:08:27.923
"5,4193","5,4199",2021-11-12 13:10:27.887
"5,4766","5,4772",2021-11-16 13:10:00.16
"5,4987","5,4993",2021-11-17 13:05:38.588
"5,5464","5,547",2021-11-18 13:09:29.964
"5,5578","5,5584",2021-11-19 13:10:31.479
"5,5835","5,5841",2021-11-22 13:08:59.918
"5,645","5,6456",2021-11-23 13:06:27.7
"5,6021","5,6027",2021-11-24 13:10:24.939
"5,5734","5,574",2021-11-25 13:11:38.492
"5,5859","5,5865",2021-11-26 13:07:20.22
"5,6112","5,6118",2021-11-29 13:10:42.305
"5,6193","5,6199",2021-11-30 13:08:45.864
"5,6162","5,6168",2021-12-01 13:08:37.975
"5,6339","5,6345",2021-12-02 13:06:24.696
"5,6426","5,6432",2021-12-03 13:09:31.634
"5,6871","5,6877",2021-12-06 13:03:38.199
"5,6405","5,6411",2021-12-07 13:10:09.863
"5,5773","5,5779",2021-12-08 13:08:22.113
"5,5558","5,5564",2021-12-09 13:06:48.535
"5,5925","5,5931",2021-12-10 13:05:20.676
"5,6351","5,6357",2021-12-13 13:08:20.616
"5,6455","5,6461",2021-12-14 13:02:44.686
"5,7121","5,7127",2021-12-15 13:02:22.464
"5,6957","5,6963",2021-12-16 13:10:33.547
"5,6953","5,6959",2021-12-17 13:04:24.245
"5,7049","5,7055",2021-12-20 13:08:24.888
"5,7367","5,7372",2021-12-21 13:05:52.535
"5,7195","5,7201",2021-12-22 13:11:23.873
"5,6904","5,691",2021-12-23 13:11:33.328
"5,6541","5,6591",2021-12-24 11:04:02.178
"5,6644","5,665",2021-12-27 13:02:39.238
"5,6432","5,6438",2021-12-28 13:09:32.36
"5,6613","5,6619",2021-12-29 13:09:53.696
"5,5799","5,5805",2021-12-30 13:05:01.31
"5,5799","5,5805",2021-12-31 10:04:20.895
"5,6303","5,6309",2022-01-03 13:11:50.357
"5,677","5,6776",2022-01-04 13:08:59.123
"5,6622","5,6628",2022-01-05 13:07:53.094
"5,7036","5,7042",2022-01-06 13:09:47.715
"5,6747","5,6753",2022-01-07 13:02:38.206
"5,673","5,6736",2022-01-10 13:09:59.748
"5,6345","5,6351",2022-01-11 13:05:48.123
"5,5605","5,5611",2022-01-12 13:11:22.447
"5,524","5,5246",2022-01-13 13:11:46.392
"5,5343","5,5349",2022-01-14 13:11:21.479
"5,5052","5,5058",2022-01-17 13:07:26.765
"5,5207","5,5213",2022-01-18 13:07:15.815
"5,4972","5,4978",2022-01-19 13:05:07.579
"5,416","5,4166",2022-01-20 13:04:23.016
"5,4395","5,4401",2022-01-21 13:04:25.546
"5,4904","5,491",2022-01-24 13:07:27.017
"5,4965","5,4971",2022-01-25 13:11:44.196
"5,4318","5,4324",2022-01-26 13:04:29.562
"5,3806","5,3812",2022-01-27 13:10:49.065
"5,3948","5,3954",2022-01-28 13:07:34.13
"5,3568","5,3574",2022-01-31 13:07:02.511
"5,2804","5,281",2022-02-01 13:11:36.02
"5,295","5,2956",2022-02-02 13:08:05.638
"5,3019","5,3025",2022-02-03 13:08:37.024
"5,3278","5,3284",2022-02-04 13:07:07.273
"5,2907","5,2913",2022-02-07 13:08:01.823
"5,2693","5,2699",2022-02-08 13:07:58.147
"5,2729","5,2735",2022-02-09 13:11:29.304
"5,2095","5,2101",2022-02-10 13:08:55.539
"5,1981","5,1987",2022-02-11 13:03:38.998
"5,21","5,2106",2022-02-14 13:09:33.007
"5,1875","5,1881",2022-02-15 13:05:34.033
"5,1624","5,163",2022-02-16 13:10:37.566
"5,1559","5,1565",2022-02-17 13:12:26.671
"5,1333","5,1339",2022-02-18 13:05:57.468
"5,0991","5,0997",2022-02-21 13:10:29.47
"5,0605","5,0611",2022-02-22 13:09:33.564
"5,0137","5,0143",2022-02-23 13:03:32.596
"5,1168","5,1174",2022-02-24 13:04:46.054
"5,1388","5,1394",2022-02-25 13:10:42.683
"5,1341","5,1347",2022-03-02 15:36:09.747
"5,0473","5,0479",2022-03-03 13:04:52.092
"5,0752","5,0758",2022-03-04 13:09:36.239
"5,0573","5,0579",2022-03-07 13:05:57.356
"5,0897","5,0903",2022-03-08 13:07:29.79
"5,0088","5,0094",2022-03-09 13:06:16.943
